Open time,BTCUSDT,ETHUSDT
2020-10-08 00:00:00+00:00,10925.57,350.95
2020-10-09 00:00:00+00:00,11050.64,365.02
2020-10-10 00:00:00+00:00,11293.22,370.52
2020-10-11 00:00:00+00:00,11369.02,374.16
2020-10-12 00:00:00+00:00,11528.25,386.51
2020-10-13 00:00:00+00:00,11420.56,381.04
2020-10-14 00:00:00+00:00,11417.89,378.69
2020-10-15 00:00:00+00:00,11505.12,377.64
2020-10-16 00:00:00+00:00,11319.32,365.5
2020-10-17 00:00:00+00:00,11360.2,368.32
2020-10-18 00:00:00+00:00,11503.14,378.11
2020-10-19 00:00:00+00:00,11751.47,379.3
2020-10-20 00:00:00+00:00,11909.99,368.52
2020-10-21 00:00:00+00:00,12780.96,390.38
2020-10-22 00:00:00+00:00,12968.52,413.98
2020-10-23 00:00:00+00:00,12923.07,409.11
2020-10-24 00:00:00+00:00,13111.73,412.14
2020-10-25 00:00:00+00:00,13028.83,405.86
2020-10-26 00:00:00+00:00,13052.19,392.52
2020-10-27 00:00:00+00:00,13636.17,403.45
2020-10-28 00:00:00+00:00,13266.4,388.23
2020-10-29 00:00:00+00:00,13455.7,387.13
2020-10-30 00:00:00+00:00,13560.1,382.49
2020-10-31 00:00:00+00:00,13791.0,386.46
2020-11-01 00:00:00+00:00,13761.5,396.67
2020-11-02 00:00:00+00:00,13549.37,383.02
2020-11-03 00:00:00+00:00,14023.53,387.88
2020-11-04 00:00:00+00:00,14144.01,402.49
2020-11-05 00:00:00+00:00,15590.02,416.69
2020-11-06 00:00:00+00:00,15579.92,455.91
2020-11-07 00:00:00+00:00,14818.3,435.21
2020-11-08 00:00:00+00:00,15475.1,454.3
2020-11-09 00:00:00+00:00,15328.41,444.32
2020-11-10 00:00:00+00:00,15297.21,450.34
2020-11-11 00:00:00+00:00,15684.24,463.09
2020-11-12 00:00:00+00:00,16291.86,462.39
2020-11-13 00:00:00+00:00,16320.7,476.43
2020-11-14 00:00:00+00:00,16070.45,460.89
2020-11-15 00:00:00+00:00,15957.0,448.08
2020-11-16 00:00:00+00:00,16713.57,460.55
2020-11-17 00:00:00+00:00,17659.38,482.15
2020-11-18 00:00:00+00:00,17776.12,478.41
2020-11-19 00:00:00+00:00,17802.82,471.25
2020-11-20 00:00:00+00:00,18655.67,510.12
2020-11-21 00:00:00+00:00,18703.8,552.35
2020-11-22 00:00:00+00:00,18414.43,560.03
2020-11-23 00:00:00+00:00,18368.0,608.58
2020-11-24 00:00:00+00:00,19160.01,604.97
2020-11-25 00:00:00+00:00,18719.11,569.5
2020-11-26 00:00:00+00:00,17149.47,519.83
2020-11-27 00:00:00+00:00,17139.52,518.68
2020-11-28 00:00:00+00:00,17719.85,537.52
2020-11-29 00:00:00+00:00,18184.99,576.3
